id,lumped_kWh,phase1_kWh,phase2_kWh,phase3_kWh,measurement_id,measurement_Id,device_Id,headend_Id,intervalEnd,intervalStart,source,timestamp_created,timestamp_received,measurementCategory_id,Label
708935,3.48686,1.14272,1.0963,1.24784,2890605,2890605,3692,Janitza_HE,8/1/2023 2:45,8/1/2023 2:30,Janitza,8/1/2023 2:45,8/1/2023 2:45,3,normal
708947,3.41449,1.09385,1.08059,1.24005,2890653,2890653,3692,Janitza_HE,8/1/2023 3:00,8/1/2023 2:45,Janitza,8/1/2023 3:00,8/1/2023 3:00,3,normal
708960,3.58896,1.19412,1.19506,1.19978,2890705,2890705,3692,Janitza_HE,8/1/2023 3:15,8/1/2023 3:00,Janitza,8/1/2023 3:15,8/1/2023 3:15,3,normal
708977,3.329981,1.18011,0.996111,1.15376,2890773,2890773,3692,Janitza_HE,8/1/2023 3:30,8/1/2023 3:15,Janitza,8/1/2023 3:30,8/1/2023 3:30,3,normal
708989,3.39225,1.12253,1.00744,1.26228,2890821,2890821,3692,Janitza_HE,8/1/2023 3:45,8/1/2023 3:30,Janitza,8/1/2023 3:45,8/1/2023 3:45,3,normal
708999,3.858684,1.33111,0.882394,1.64518,2890861,2890861,3692,Janitza_HE,8/1/2023 4:00,8/1/2023 3:45,Janitza,8/1/2023 4:00,8/1/2023 4:00,3,normal
709011,5.16194,1.86688,1.23798,2.05708,2890909,2890909,3692,Janitza_HE,8/1/2023 4:15,8/1/2023 4:00,Janitza,8/1/2023 4:15,8/1/2023 4:15,3,normal
709027,7.39105,2.29195,1.89416,3.20494,2890973,2890973,3692,Janitza_HE,8/1/2023 4:30,8/1/2023 4:15,Janitza,8/1/2023 4:30,8/1/2023 4:30,3,normal
709046,7.92192,2.21774,2.02612,3.67806,2891049,2891049,3692,Janitza_HE,8/1/2023 4:45,8/1/2023 4:30,Janitza,8/1/2023 4:45,8/1/2023 4:45,3,normal
709067,8.33908,2.41931,2.23934,3.68043,2891133,2891133,3692,Janitza_HE,8/1/2023 5:00,8/1/2023 4:45,Janitza,8/1/2023 5:00,8/1/2023 5:00,3,normal
709084,9.1843,3.00353,2.68254,3.49823,2891201,2891201,3692,Janitza_HE,8/1/2023 5:15,8/1/2023 5:00,Janitza,8/1/2023 5:15,8/1/2023 5:15,3,normal
709097,9.98695,3.75618,2.73929,3.49148,2891253,2891253,3692,Janitza_HE,8/1/2023 5:30,8/1/2023 5:15,Janitza,8/1/2023 5:30,8/1/2023 5:30,3,normal
709110,11.69761,4.1889,3.25841,4.2503,2891305,2891305,3692,Janitza_HE,8/1/2023 5:45,8/1/2023 5:30,Janitza,8/1/2023 5:45,8/1/2023 5:45,3,normal
